0:1	Account: xebmt004	 Name: XeÙN­ícÙMÝa3	 Level: 92	 IP Address: 27.79.43.143 : 53348
1:25	Account: xebmt6	 Name: ggiiuddo	 Level: 80	 IP Address: 171.232.181.167 : 50431
1:25	Account: tuanlovekun5	 Name: §­êngÙM«n	 Level: 100	 IP Address: 171.241.216.241 : 21037
1:27	Account: xebmt6	 Name: f2rf2r2fr	 Level: 80	 IP Address: 171.232.181.167 : 50437
1:27	Account: tuanlovekun6	 Name: ÙÙ5docÙ	 Level: 80	 IP Address: 171.241.216.241 : 21039
1:27	Account: xebmt6	 Name: 2r22rg2rg	 Level: 80	 IP Address: 171.232.181.167 : 50445
1:28	Account: tuanlovekun5	 Name: §­êngÙM«n	 Level: 100	 IP Address: 171.241.216.241 : 21043
1:28	Account: huy1713	 Name: Machine3	 Level: 85	 IP Address: 171.232.181.167 : 50450
1:28	Account: huy1714	 Name: B¨ngÙThÇn	 Level: 83	 IP Address: 171.232.181.167 : 50459
1:29	Account: huy1715	 Name: Machine1	 Level: 85	 IP Address: 171.232.181.167 : 50462
1:29	Account: huy100	 Name: TiÓuLýPhiTiªu	 Level: 80	 IP Address: 171.232.181.167 : 50464
1:29	Account: huy101	 Name: Ngò§écHµnhKinh	 Level: 90	 IP Address: 171.232.181.167 : 50467
1:30	Account: tuanlovekun5	 Name: B¸CH§äCXUY£NT¢M	 Level: 80	 IP Address: 171.241.216.241 : 21045
1:31	Account: tuanlovekun5	 Name: §­êngÙM«n	 Level: 100	 IP Address: 171.241.216.241 : 21047
1:31	Account: huy102	 Name: Phoiep	 Level: 80	 IP Address: 171.232.181.167 : 50473
1:32	Account: huy103	 Name: Bosssssssss	 Level: 80	 IP Address: 171.232.181.167 : 50477
1:32	Account: th115	 Name: S¨nÙBossÙ01	 Level: 80	 IP Address: 117.4.153.2 : 50322
1:32	Account: xebmt6	 Name: ggiiuddo	 Level: 80	 IP Address: 171.232.181.167 : 50479
1:32	Account: xebmt6	 Name: f2rf2r2fr	 Level: 80	 IP Address: 171.232.181.167 : 50481
1:33	Account: xebmt6	 Name: 2r22rg2rg	 Level: 80	 IP Address: 171.232.181.167 : 50485
1:33	Account: xebmt7	 Name: chaudjd	 Level: 80	 IP Address: 171.232.181.167 : 50489
1:33	Account: xebmt7	 Name: chuado1	 Level: 80	 IP Address: 171.232.181.167 : 50491
1:33	Account: xebmt7	 Name: chuadodd	 Level: 80	 IP Address: 171.232.181.167 : 50493
1:34	Account: xebmt8	 Name: sanboxxx	 Level: 80	 IP Address: 171.232.181.167 : 50498
1:34	Account: xebmt8	 Name: sanboox2	 Level: 80	 IP Address: 171.232.181.167 : 50500
1:35	Account: huy1714	 Name: B¨ngÙThÇn	 Level: 83	 IP Address: 171.232.181.167 : 50513
1:36	Account: huy100	 Name: TiÓuLýPhiTiªu	 Level: 80	 IP Address: 171.232.181.167 : 50519
1:46	Account: xebmt8	 Name: sanboxxx	 Level: 80	 IP Address: 27.79.43.143 : 53510
1:48	Account: nonhandl	 Name: NhËmÙNg·ÙHµnhÙ	 Level: 110	 IP Address: 113.161.186.65 : 3564
1:48	Account: nonhandophoi	 Name: DoNgon	 Level: 80	 IP Address: 113.161.186.65 : 3572
1:49	Account: xebmt7	 Name: chuadodd	 Level: 80	 IP Address: 27.79.43.143 : 53516
1:49	Account: xebmt9	 Name: chaud121	 Level: 80	 IP Address: 27.79.43.143 : 53518
1:49	Account: huy101	 Name: Ngò§écHµnhKinh	 Level: 90	 IP Address: 171.232.181.167 : 50568
1:49	Account: xebmt9	 Name: chauddoodd	 Level: 80	 IP Address: 27.79.43.143 : 53520
1:50	Account: nonhandophoi	 Name: DoPhoi1	 Level: 80	 IP Address: 113.161.186.65 : 3586
1:52	Account: nonhandophoi	 Name: DayChuyenNgocBoi	 Level: 80	 IP Address: 113.161.186.65 : 3594
1:54	Account: xebmt001	 Name: XeÙN­ícÙMÝa	 Level: 92	 IP Address: 27.79.43.143 : 53533
1:56	Account: xebmt003	 Name: XeÙN­ícÙMÝa2a	 Level: 92	 IP Address: 27.79.43.143 : 53537
1:56	Account: xebmt9	 Name: chauddoodd	 Level: 80	 IP Address: 27.79.43.143 : 53539
1:56	Account: xebmt9	 Name: chuadodkd	 Level: 80	 IP Address: 27.79.43.143 : 53541
1:56	Account: xebmt7	 Name: chaudjd	 Level: 80	 IP Address: 27.79.43.143 : 53543
1:56	Account: xebmt7	 Name: chuadodd	 Level: 80	 IP Address: 27.79.43.143 : 53545
1:56	Account: xebmt8	 Name: sanboxxx	 Level: 80	 IP Address: 27.79.43.143 : 53547
2:23	Account: nonhandophoi	 Name: DoPhoi1	 Level: 80	 IP Address: 113.165.166.236 : 3980
2:28	Account: nonhantn2	 Name: ThiªnÙNhÉnÙ02	 Level: 80	 IP Address: 113.161.186.65 : 4016
2:28	Account: nonhantn2	 Name: ThiªnÙNhÉnÙ02	 Level: 80	 IP Address: 113.161.186.65 : 4018
2:55	Account: thoakhungz5	 Name: §õngÙChäcÙTao	 Level: 100	 IP Address: 116.99.167.107 : 50612
2:59	Account: thoakhungzz4	 Name: H¾cKúL©n	 Level: 84	 IP Address: 116.99.167.107 : 50632
3:3	Account: thangvl5	 Name: 5TLSuco	 Level: 100	 IP Address: 183.81.86.145 : 24528
3:15	Account: thangvl1	 Name: DocDoc1	 Level: 80	 IP Address: 183.81.86.145 : 24588
3:47	Account: thangvl1	 Name: DocDoc1	 Level: 80	 IP Address: 183.81.86.145 : 24802
3:49	Account: thangvl6	 Name: 6Vâ®ang	 Level: 97	 IP Address: 183.81.86.145 : 24809
3:58	Account: thangvl7	 Name: 7NgaMiBuffBuff	 Level: 96	 IP Address: 183.81.86.145 : 24863
4:0	Account: thangvl8	 Name: 8ThóyYªnTû	 Level: 97	 IP Address: 183.81.86.145 : 24873
4:9	Account: thangvl9	 Name: 9§écV«Biªn	 Level: 98	 IP Address: 183.81.86.145 : 24993
4:10	Account: thangvl10	 Name: 10HáaCaCa	 Level: 98	 IP Address: 183.81.86.145 : 25002
4:43	Account: ribi01	 Name: RiBi01	 Level: 104	 IP Address: 14.245.58.184 : 3382
4:43	Account: usd001	 Name: USD001	 Level: 87	 IP Address: 14.245.58.184 : 3384
4:44	Account: usd001	 Name: USD001	 Level: 87	 IP Address: 14.245.58.184 : 3394
4:44	Account: ribi01	 Name: RiBi01	 Level: 104	 IP Address: 14.245.58.184 : 3396
