11:54	Account: luukt56	 Name: NgoalongND	 Level: 94	 IP Address: 123.25.218.214 : 47328
11:55	Account: luukt51	 Name: NgoaLongTN	 Level: 93	 IP Address: 123.25.218.214 : 47346
11:56	Account: luukt52	 Name: NgoalongTN	 Level: 92	 IP Address: 123.25.218.214 : 47361
11:57	Account: anhsangnguyen1994	 Name: zZKieuPhongZz	 Level: 1	 IP Address: 171.239.136.65 : 52666
11:58	Account: nonhantn	 Name: V«ÙNhaiÙTö	 Level: 80	 IP Address: 58.187.180.245 : 49818
12:1	Account: luukt51	 Name: NgoaLongTN	 Level: 93	 IP Address: 123.25.218.214 : 47418
12:1	Account: nonhandovip	 Name: DoPhoHoangKim	 Level: 80	 IP Address: 58.187.180.245 : 49823
12:3	Account: dophohk	 Name: HoangKim	 Level: 80	 IP Address: 58.187.180.245 : 49831
12:14	Account: thangvl5	 Name: 5TLSuco	 Level: 102	 IP Address: 183.81.86.145 : 2789
12:15	Account: huynhtrongtri14	 Name: §écS¸tNgo¹iC«ng	 Level: 97	 IP Address: 42.119.136.199 : 54299
12:18	Account: thangvl6	 Name: 6Vâ®ang	 Level: 98	 IP Address: 183.81.86.145 : 2822
12:19	Account: sarin1990	 Name: DocDep	 Level: 85	 IP Address: 116.110.119.64 : 49232
12:19	Account: sarin2	 Name: DocXinh12	 Level: 82	 IP Address: 116.110.119.64 : 32960
12:19	Account: nonhandm	 Name: ThµnhÙC¸tÙT­ÙH·n	 Level: 81	 IP Address: 58.187.180.245 : 49838
12:20	Account: huynhtrongtri14	 Name: Daccacloai	 Level: 80	 IP Address: 42.119.136.199 : 54307
12:20	Account: minhvu25091990	 Name: Kamikaze	 Level: 82	 IP Address: 116.110.119.64 : 49248
12:21	Account: minhvu25091990	 Name: DocXinh2	 Level: 81	 IP Address: 116.110.119.64 : 49252
12:21	Account: sarin2	 Name: DocXinh14	 Level: 81	 IP Address: 116.110.119.64 : 49258
12:23	Account: sarin2	 Name: DocXinh12	 Level: 82	 IP Address: 116.110.119.64 : 49272
12:24	Account: nonhandm	 Name: ThµnhÙC¸tÙT­ÙH·n	 Level: 81	 IP Address: 58.187.180.245 : 49844
12:24	Account: dophohk	 Name: HoangKim	 Level: 80	 IP Address: 58.187.180.245 : 49846
12:24	Account: sarin2	 Name: DocXinh14	 Level: 81	 IP Address: 116.110.119.64 : 49284
12:24	Account: bihulk01	 Name: Ng¹oÙLµÙGiÕt	 Level: 109	 IP Address: 1.52.34.178 : 10338
12:26	Account: bihulk01	 Name: Ng¹oÙLµÙGiÕt	 Level: 109	 IP Address: 1.52.34.178 : 16767
12:27	Account: ribi02	 Name: RiBi02	 Level: 80	 IP Address: 14.167.83.83 : 1492
12:28	Account: nonhandophoi	 Name: DoNgon	 Level: 80	 IP Address: 58.187.180.245 : 49850
12:30	Account: huynhtrongtri14	 Name: §écS¸tNgo¹iC«ng	 Level: 97	 IP Address: 42.119.136.199 : 54318
12:32	Account: nonhandophoi	 Name: DoPhoi1	 Level: 80	 IP Address: 58.187.180.245 : 49854
12:34	Account: dophoi1	 Name: PhoiEpDo	 Level: 80	 IP Address: 58.187.180.245 : 49862
12:37	Account: sangtpbrvt6	 Name: SangTp666	 Level: 91	 IP Address: 14.164.182.254 : 54370
12:38	Account: sangtpbrvt5	 Name: SangTp5	 Level: 80	 IP Address: 14.164.182.254 : 54372
12:38	Account: sangtpbrvt7	 Name: SangTpaaa	 Level: 80	 IP Address: 14.164.182.254 : 54374
12:38	Account: ribi07	 Name: 0000004	 Level: 1	 IP Address: 14.167.83.83 : 1580
12:38	Account: bomsin01	 Name: dddddadads	 Level: 80	 IP Address: 116.111.231.93 : 50402
12:39	Account: luukt53	 Name: NgoalongVD	 Level: 117	 IP Address: 123.25.218.214 : 48009
12:39	Account: ribi07	 Name: 0000004	 Level: 80	 IP Address: 14.167.83.83 : 1590
12:41	Account: bomsin01	 Name: STYªuMétNg­êi	 Level: 1	 IP Address: 116.111.231.93 : 50640
12:43	Account: dm0001	 Name: dm0001	 Level: 84	 IP Address: 58.187.180.245 : 49869
12:45	Account: anhsangnguyen1995	 Name: zZTaoDiaTangzZ	 Level: 1	 IP Address: 171.239.136.65 : 54675
12:46	Account: bomsin01	 Name: STYªuMétNg­êi	 Level: 80	 IP Address: 116.111.231.93 : 50829
12:47	Account: ribi07	 Name: 00000005	 Level: 1	 IP Address: 14.167.83.83 : 1631
12:48	Account: bomsin02	 Name: Nh·Ph­¬ng	 Level: 1	 IP Address: 116.111.231.93 : 50832
12:50	Account: sarin2	 Name: DocXinh14	 Level: 81	 IP Address: 116.110.119.64 : 49389
12:50	Account: sarin2	 Name: DocXinh13	 Level: 80	 IP Address: 116.110.119.64 : 49393
12:51	Account: bomsin03	 Name: §anTr­êng	 Level: 1	 IP Address: 116.111.231.93 : 50854
12:52	Account: ribi07	 Name: USD003	 Level: 1	 IP Address: 14.167.83.83 : 1659
12:56	Account: ribi07	 Name: USD003	 Level: 80	 IP Address: 14.167.83.83 : 1682
12:59	Account: sarin3	 Name: DocXinh16	 Level: 81	 IP Address: 116.110.119.64 : 49425
13:1	Account: voquynhnhu	 Name: B¶o®ao§åLong	 Level: 81	 IP Address: 27.2.129.199 : 27335
13:5	Account: anhsangnguyen1994	 Name: zZKieuPhongZz	 Level: 80	 IP Address: 171.239.136.65 : 55727
13:6	Account: huy1712	 Name: ¡nÙMµyÙV­¬ngÙGia	 Level: 104	 IP Address: 171.232.181.167 : 49862
13:8	Account: huy1712	 Name: ¡nÙMµyÙV­¬ngÙGia	 Level: 104	 IP Address: 171.232.181.167 : 49866
13:10	Account: sangtpbrvt5	 Name: SangTp555	 Level: 84	 IP Address: 14.164.182.254 : 54396
13:13	Account: longyen015	 Name: TYÙCñaÙLong	 Level: 90	 IP Address: 14.187.167.3 : 50150
13:14	Account: sangtpbrvt2	 Name: SangTp222	 Level: 93	 IP Address: 14.164.182.254 : 54400
13:16	Account: longyen012	 Name: NMÙCñaÙLong	 Level: 90	 IP Address: 14.187.167.3 : 50156
13:22	Account: sarin3	 Name: DocXinh15	 Level: 81	 IP Address: 116.110.119.64 : 49502
13:22	Account: minhvu25091990	 Name: DocXinh2	 Level: 81	 IP Address: 116.110.119.64 : 49504
13:26	Account: sarin3	 Name: DocXinh17	 Level: 81	 IP Address: 116.110.119.64 : 33520
13:26	Account: sarin3	 Name: DocXinh15	 Level: 81	 IP Address: 116.110.119.64 : 33265
13:27	Account: sarin3	 Name: DocXinh16	 Level: 81	 IP Address: 116.110.119.64 : 49527
13:40	Account: nonhantn	 Name: HµnÙL©mÙNhi	 Level: 93	 IP Address: 58.187.180.245 : 49904
13:40	Account: minhtrand7	 Name: 3143242	 Level: 81	 IP Address: 1.52.159.15 : 49345
13:40	Account: nonhantn	 Name: V«ÙNhaiÙTö	 Level: 80	 IP Address: 58.187.180.245 : 49906
13:41	Account: minhtrand20	 Name: sanboss2	 Level: 80	 IP Address: 1.52.159.15 : 49352
13:42	Account: minhtrand21	 Name: sanboss3	 Level: 80	 IP Address: 1.52.159.15 : 49356
13:43	Account: minhtrand22	 Name: sanboss5	 Level: 80	 IP Address: 1.52.159.15 : 49358
13:43	Account: minhtrand22	 Name: sanboss12	 Level: 1	 IP Address: 1.52.159.15 : 49363
13:45	Account: minhtrand23	 Name: sanboss8	 Level: 80	 IP Address: 1.52.159.15 : 49366
13:47	Account: minhtrand23	 Name: sanboss06	 Level: 80	 IP Address: 1.52.159.15 : 49368
13:47	Account: minhtrand24	 Name: sanboss9	 Level: 80	 IP Address: 1.52.159.15 : 49370
