0:0	Account: sarin1990	 Name: DocDep	 Level: 71	 IP Address: 27.69.147.127 : 53431
1:59	Account: ngocbich02	 Name: NgocBich02	 Level: 5	 IP Address: 14.233.233.93 : 55235
2:1	Account: sarin1990	 Name: DocDep1	 Level: 80	 IP Address: 27.69.147.127 : 54387
2:2	Account: ngocbich02	 Name: NgocBich02	 Level: 5	 IP Address: 14.233.233.93 : 55277
2:3	Account: sarin1990	 Name: DocXinh	 Level: 81	 IP Address: 27.69.147.127 : 54396
2:3	Account: sarin1990	 Name: DocDep1	 Level: 80	 IP Address: 27.69.147.127 : 54398
2:5	Account: sarin1990	 Name: DocXinh	 Level: 81	 IP Address: 27.69.147.127 : 54407
2:5	Account: sarin1990	 Name: DocDep1	 Level: 80	 IP Address: 27.69.147.127 : 54410
2:6	Account: sarin1990	 Name: DocXinh	 Level: 81	 IP Address: 27.69.147.127 : 54418
2:7	Account: sarin1990	 Name: DocDep1	 Level: 80	 IP Address: 27.69.147.127 : 54422
2:8	Account: sarin1990	 Name: DocXinh	 Level: 81	 IP Address: 27.69.147.127 : 54431
2:8	Account: sarin1990	 Name: DocDep1	 Level: 80	 IP Address: 27.69.147.127 : 54433
2:10	Account: sarin1990	 Name: DocXinh	 Level: 81	 IP Address: 27.69.147.127 : 54442
2:10	Account: sarin1990	 Name: DocDep1	 Level: 80	 IP Address: 27.69.147.127 : 54444
2:11	Account: sarin1990	 Name: DocXinh	 Level: 81	 IP Address: 27.69.147.127 : 54450
2:12	Account: sarin1990	 Name: DocDep1	 Level: 80	 IP Address: 27.69.147.127 : 54454
2:13	Account: sarin1990	 Name: DocXinh	 Level: 81	 IP Address: 27.69.147.127 : 54462
2:13	Account: sarin1990	 Name: DocDep1	 Level: 80	 IP Address: 27.69.147.127 : 54464
2:15	Account: sarin1990	 Name: DocXinh	 Level: 81	 IP Address: 27.69.147.127 : 54473
2:16	Account: sarin1990	 Name: DocDep1	 Level: 80	 IP Address: 27.69.147.127 : 52578
2:16	Account: sarin1990	 Name: DocXinh	 Level: 81	 IP Address: 27.69.147.127 : 52579
2:20	Account: sarin1	 Name: XinhGai10	 Level: 80	 IP Address: 27.69.147.127 : 54515
2:25	Account: vunguyen1987	 Name: ThuyYen	 Level: 82	 IP Address: 27.78.207.70 : 49201
2:27	Account: vunguyen1985	 Name: ThanhThanh	 Level: 79	 IP Address: 27.78.207.70 : 49207
2:28	Account: vunguyen1988	 Name: ChoiVui	 Level: 80	 IP Address: 27.78.207.70 : 49209
2:28	Account: vunguyen1984	 Name: Achoivui	 Level: 81	 IP Address: 27.78.207.70 : 49213
2:33	Account: vunguyen1987	 Name: ThuyYen	 Level: 82	 IP Address: 27.78.207.70 : 49216
2:39	Account: kimmalenhhai5	 Name: B­ímToNhÊtXãm	 Level: 89	 IP Address: 171.243.198.143 : 62465
2:39	Account: ngocbich04	 Name: sfdgdfgsdg	 Level: 1	 IP Address: 14.233.233.93 : 55405
2:45	Account: huy1713	 Name: SonGoKu	 Level: 85	 IP Address: 116.108.185.216 : 5382
2:45	Account: kingvl1	 Name: ThñyTiªnTûTû	 Level: 84	 IP Address: 118.70.41.159 : 40447
2:45	Account: hoailanghp5	 Name: HPHoaPhong2	 Level: 81	 IP Address: 14.228.3.167 : 1615
2:45	Account: mapdl1	 Name: TiÕuNg¹oÙGiangHå	 Level: 98	 IP Address: 14.168.28.44 : 58198
2:45	Account: kingvl5	 Name: ThanhH­Ch©nNh©n	 Level: 84	 IP Address: 118.70.41.159 : 38794
2:45	Account: bihulk003	 Name: 76ÙSHXT	 Level: 80	 IP Address: 171.243.34.90 : 52368
2:45	Account: huy100	 Name: EventGirl	 Level: 81	 IP Address: 116.108.185.216 : 5385
