7:26	Account: tumap3005	 Name: SBossss	 Level: 87	 IP Address: 27.75.131.29 : 27763
7:26	Account: tumap3000	 Name: EmChoiLai	 Level: 97	 IP Address: 27.75.131.29 : 27766
7:26	Account: tranhoangcham3	 Name: sando123	 Level: 80	 IP Address: 113.170.255.227 : 49437
7:27	Account: tranhoangcham4	 Name: sanevent1	 Level: 80	 IP Address: 113.170.255.227 : 49440
7:28	Account: tranhoangcham3	 Name: sando123	 Level: 80	 IP Address: 113.170.255.227 : 49442
7:29	Account: tranhoangcham3	 Name: sando123	 Level: 80	 IP Address: 113.170.255.227 : 49448
7:33	Account: tumap3005	 Name: SBossss	 Level: 87	 IP Address: 27.75.131.29 : 27898
7:33	Account: tumap3004	 Name: DamManhVao	 Level: 92	 IP Address: 27.75.131.29 : 27924
7:33	Account: tumap3000	 Name: EmChoiLai	 Level: 97	 IP Address: 27.75.131.29 : 27928
7:33	Account: tumap3001	 Name: TrauBoGapNhau	 Level: 92	 IP Address: 27.75.131.29 : 27930
7:33	Account: tumap3002	 Name: BuffLaiThoi	 Level: 92	 IP Address: 27.75.131.29 : 27933
7:35	Account: samsimon3	 Name: GIuDoNe	 Level: 80	 IP Address: 115.78.195.38 : 55533
7:36	Account: tumap3000	 Name: EmChoiLai	 Level: 97	 IP Address: 27.75.131.29 : 27945
7:36	Account: tumap3005	 Name: SBossss	 Level: 87	 IP Address: 27.75.131.29 : 27948
7:36	Account: tumap3004	 Name: DamManhVao	 Level: 92	 IP Address: 27.75.131.29 : 27949
7:36	Account: tumap3002	 Name: BuffLaiThoi	 Level: 92	 IP Address: 27.75.131.29 : 27951
7:36	Account: tumap3001	 Name: TrauBoGapNhau	 Level: 92	 IP Address: 27.75.131.29 : 27953
7:38	Account: building1987	 Name: TiÒnÙV«ÙNghÜa	 Level: 97	 IP Address: 27.79.74.126 : 53158
7:40	Account: quocbaobp	 Name: NçiÙBuånÙKoÙTªn	 Level: 98	 IP Address: 27.79.74.126 : 53162
7:41	Account: tranhoangcham	 Name: KeVoDanh113	 Level: 82	 IP Address: 113.170.255.227 : 49720
7:41	Account: tumap3000	 Name: EmChoiLai	 Level: 97	 IP Address: 27.75.131.29 : 27912
7:43	Account: tranhoangcham3	 Name: sando123	 Level: 80	 IP Address: 113.170.255.227 : 49727
7:45	Account: tranhoangcham1	 Name: sando1234	 Level: 1	 IP Address: 113.170.255.227 : 49733
7:48	Account: sangtpbrvt7	 Name: SangTp7	 Level: 80	 IP Address: 14.184.70.55 : 49998
7:49	Account: sangtpbrvt8	 Name: SangTp8	 Level: 81	 IP Address: 14.184.70.55 : 50014
7:49	Account: samsimon3	 Name: LuuKhoNhe	 Level: 80	 IP Address: 115.78.195.38 : 55553
7:49	Account: minsimon	 Name: ÙSöuÙSG	 Level: 85	 IP Address: 115.78.195.38 : 55557
7:50	Account: minsimon	 Name: ÙRinÙSG	 Level: 80	 IP Address: 115.78.195.38 : 55559
7:50	Account: xebmt7	 Name: buffbuathoi	 Level: 80	 IP Address: 27.79.74.126 : 53185
7:50	Account: xebmt9	 Name: f22rr5r	 Level: 80	 IP Address: 27.79.74.126 : 53187
7:50	Account: xebmt9	 Name: frf2r2fr	 Level: 80	 IP Address: 27.79.74.126 : 53189
7:51	Account: xebmt9	 Name: grg2r2gr	 Level: 80	 IP Address: 27.79.74.126 : 53191
7:52	Account: thoakhungz3	 Name: CånÙDaÙL¹p	 Level: 98	 IP Address: 171.251.237.76 : 51064
7:55	Account: thoakhungz2	 Name: §iÖpÙLiªnÙTó	 Level: 90	 IP Address: 171.251.237.76 : 51066
8:5	Account: sangtpbrvt1	 Name: SangTp1	 Level: 98	 IP Address: 14.184.70.55 : 51392
8:7	Account: xebmt7	 Name: 11111®	 Level: 80	 IP Address: 27.79.74.126 : 53216
8:11	Account: samsimon1	 Name: ÙHîiÙSG	 Level: 105	 IP Address: 115.78.195.38 : 55587
8:12	Account: minhtrand1	 Name: GiÕtÙS­Ù§ètÙChïa	 Level: 81	 IP Address: 14.174.119.34 : 49310
8:12	Account: minhtrand2	 Name: TiÓuÙLinh	 Level: 81	 IP Address: 14.174.119.34 : 49325
8:13	Account: minhtrand3	 Name: HáaÙLongÙKaKa	 Level: 81	 IP Address: 14.174.119.34 : 49329
8:13	Account: minhtrand4	 Name: BµÙL«i	 Level: 81	 IP Address: 14.174.119.34 : 49331
8:14	Account: minhtrand5	 Name: LÇyÙAÙMinh	 Level: 81	 IP Address: 14.174.119.34 : 49338
8:16	Account: phamtungdhv5	 Name: ZzPhiLongzZ	 Level: 81	 IP Address: 42.118.129.73 : 50433
8:21	Account: phamtungdhv1	 Name: ZzJindozZ	 Level: 85	 IP Address: 42.118.129.73 : 50442
8:21	Account: minhtrand6	 Name: §écÙTµÙNh©n	 Level: 81	 IP Address: 14.174.119.34 : 49362
8:26	Account: hieuadnew	 Name: AdminÙSHXT	 Level: 125	 IP Address: 14.233.233.93 : 49227
8:27	Account: hieuadnew	 Name: AdminÙSHXT	 Level: 125	 IP Address: 14.233.233.93 : 49285
8:29	Account: thaocanh113	 Name: ThiªnÙNh·	 Level: 81	 IP Address: 117.4.153.3 : 49252
8:32	Account: th113	 Name: ThiªnÙ§ÞaÙHéi	 Level: 80	 IP Address: 117.4.153.3 : 49324
8:36	Account: th114	 Name: TµÙPh¸i	 Level: 80	 IP Address: 117.4.153.3 : 49333
8:37	Account: vuduymanhhp	 Name: hungbathienha	 Level: 80	 IP Address: 103.7.36.180 : 24525
8:37	Account: bihulk01	 Name: 74ÙBiÙSHXT	 Level: 97	 IP Address: 42.115.143.113 : 22661
8:38	Account: th115	 Name: ThiªnÙNhÉnÙ01	 Level: 80	 IP Address: 117.4.153.3 : 49340
8:42	Account: th117	 Name: ThiªnÙNhÉnÙ02	 Level: 80	 IP Address: 117.4.153.3 : 49347
8:44	Account: th118	 Name: C«nÙL«nÙ01	 Level: 1	 IP Address: 117.4.153.3 : 49352
8:44	Account: bihulk01	 Name: 74ÙBiÙSHXT	 Level: 97	 IP Address: 42.115.143.113 : 43328
8:46	Account: bihulk02	 Name: 74ÙLinhÙSHXT	 Level: 84	 IP Address: 42.115.143.113 : 12259
8:47	Account: bihulk04	 Name: 74ÙBÐÙSHXT	 Level: 87	 IP Address: 42.115.143.113 : 42321
8:48	Account: minsimon	 Name: ÙSöuÙSG	 Level: 85	 IP Address: 115.78.195.38 : 55641
8:49	Account: building1987	 Name: TiÒnÙV«ÙNghÜa	 Level: 100	 IP Address: 27.79.74.126 : 53325
8:49	Account: bihulk001	 Name: 74Ù§écÙSHXT	 Level: 80	 IP Address: 42.115.143.113 : 19639
8:51	Account: minsimon	 Name: ÙRinÙSG	 Level: 80	 IP Address: 115.78.195.38 : 55646
8:51	Account: gcity01	 Name: 01ÙThiÕuÙL©m	 Level: 86	 IP Address: 27.79.74.126 : 53331
8:51	Account: bihulk003	 Name: 74ÙL«iÙSHXT	 Level: 1	 IP Address: 42.115.143.113 : 55178
8:57	Account: sarin1990	 Name: DocXinh	 Level: 80	 IP Address: 27.69.147.127 : 14922
8:59	Account: sarin1	 Name: XinhGai10	 Level: 80	 IP Address: 27.69.147.127 : 14378
8:59	Account: xebmt7	 Name: 123654	 Level: 80	 IP Address: 27.79.74.126 : 53344
9:0	Account: sarin1	 Name: XinhGai11	 Level: 80	 IP Address: 27.69.147.127 : 49960
9:0	Account: xebmt7	 Name: buffbuathoi	 Level: 80	 IP Address: 27.79.74.126 : 53350
9:0	Account: xebmt1	 Name: clbuad	 Level: 80	 IP Address: 27.79.74.126 : 53352
9:0	Account: sarin1	 Name: XinhGai12	 Level: 80	 IP Address: 27.69.147.127 : 49967
9:1	Account: sarin2	 Name: XinhGai13	 Level: 80	 IP Address: 27.69.147.127 : 49975
9:1	Account: gcity02	 Name: 02ÙThiªnÙNhÉn	 Level: 96	 IP Address: 27.79.74.126 : 53355
9:2	Account: sarin2	 Name: XinhGai14	 Level: 80	 IP Address: 27.69.147.127 : 15019
9:2	Account: huy101	 Name: §écXuyªnChim	 Level: 80	 IP Address: 14.187.247.9 : 57998
9:2	Account: bihulk003	 Name: 74ÙL«iÙSHXT	 Level: 80	 IP Address: 42.115.143.113 : 49012
9:3	Account: sarin2	 Name: XinhGai16	 Level: 80	 IP Address: 27.69.147.127 : 49990
9:3	Account: sarin	 Name: XinhGai9	 Level: 80	 IP Address: 27.69.147.127 : 14955
9:3	Account: samsimon1	 Name: ÙHîiÙSG	 Level: 105	 IP Address: 115.78.195.38 : 55665
9:3	Account: sarin	 Name: XinhGai7	 Level: 80	 IP Address: 27.69.147.127 : 14698
9:4	Account: sarin	 Name: XinhGai8	 Level: 80	 IP Address: 27.69.147.127 : 50002
